a,b,weight
VA04,VB03,1
VA09,VB08,3
VA11,VA12,1
VA11,VB10,3
VA12,VB11,7
VA12,VD12,8
VA12,VD13,6
VB01,VB02,2
VB02,VB03,10
VB02,VB04,1
VB02,VB07,1
VB03,VB04,1
VB04,VB05,1
VB05,VB06,5
VB06,VB07,5
VB07,VB08,5
VB08,VB09,5
VB09,VB10,5
VB10,VD11,1
VB10,VD12,1
VB11,VD12,1
VC01,VC02,12
VC01,VC03,7
VC01,VD01,1
VC02,VC02,1
VC02,VC03,3
VC02,VD01,1
VC03,VC04,4
VC04,VC05,4
VC05,VC05,4
VC05,VC06,4
VD01,VD02,4
VD02,VD02,3
VD02,VD03,7
VD03,VD04,6
VD04,VD05,1
VD05,VD06,10
VD06,VD07,15
VD07,VD08,6
VD08,VD09,6
VD09,VD10,6
VD10,VD11,6
VD11,VD12,6
VD12,VD13,6
